iter	Passed	Remaining
184	781	3444
185	786	3444
186	788	3429
187	794	3429
188	797	3423
189	819	3493
190	869	3684
191	878	3696
192	879	3679
193	882	3666
194	891	3681
195	899	3690
196	904	3684
197	907	3676
198	910	3665
199	913	3655
200	916	3643
201	919	3630
202	925	3635
203	932	3638
204	947	3673
205	951	3668
206	954	3654
207	957	3645
208	960	3634
209	962	3622
210	966	3615
211	970	3608
212	974	3601
213	978	3592
214	982	3588
215	985	3577
216	989	3568
217	990	3554
218	993	3541
219	995	3529
220	998	3519
221	1002	3513
222	1004	3500
223	1006	3485
224	1008	3475
225	1011	3462
226	1013	3449
227	1016	3440
228	1019	3433
229	1025	3434
230	1028	3423
231	1035	3426
232	1037	3416
233	1040	3406
234	1043	3397
235	1047	3392
236	1051	3384
237	1054	3374
238	1056	3363
239	1058	3352
240	1061	3342
241	1064	3334
242	1066	3321
243	1068	3309
244	1070	3299
245	1072	3288
246	1074	3277
247	1079	3274
248	1082	3265
249	1085	3257
250	1088	3249
251	1093	3244
252	1096	3238
253	1099	3228
254	1101	3217
255	1104	3209
256	1107	3200
257	1109	3191
258	1112	3181
259	1115	3173
260	1117	3163
261	1119	3151
262	1124	3150
263	1127	3143
264	1130	3134
265	1131	3123
266	1133	3112
267	1139	3112
268	1142	3103
269	1144	3095
270	1146	3084
271	1148	3074
272	1152	3069
273	1154	3059
274	1156	3049
275	1157	3037
276	1159	3027
277	1161	3017
278	1164	3010
279	1170	3008
280	1172	3000
281	1176	2994
282	1178	2984
283	1182	2980
284	1185	2974
285	1197	2988
286	1202	2987
287	1205	2981
288	1210	2977
289	1212	2968
290	1214	2959
291	1217	2952
292	1220	2944
293	1223	2937
294	1226	2931
295	1229	2923
296	1231	2913
297	1233	2904
298	1235	2896
299	1237	2887
300	1239	2879
301	1242	2872
302	1244	2863
303	1246	2853
304	1248	2844
305	1250	2835
306	1252	2826
307	1254	2818
308	1258	2813
309	1260	2805
310	1263	2798
311	1264	2789
312	1267	2781
313	1271	2778
314	1274	2771
315	1277	2765
316	1279	2756
317	1282	2750
318	1289	2752
319	1293	2749
320	1298	2746
321	1301	2741
322	1305	2736
323	1309	2731
324	1311	2724
325	1314	2717
326	1319	2716
327	1323	2711
328	1327	2706
329	1333	2706
330	1335	2700
331	1338	2693
332	1342	2688
333	1347	2687
334	1352	2684
335	1354	2677
336	1359	2674
337	1365	2675
338	1369	2670
339	1373	2665
340	1383	2673
341	1388	2672
